ZIP Encoding,Monte_Carlo_Run,Iteration,Number of experiments,MEDV_Measurements,MEDV_IterBest,Running best house price
Random,1,12,13,[3.8336],3.8336,3.8336
Random,1,13,14,[1.53392857],1.5339285714285713,3.8336
Random,1,14,15,[0.62166667],0.6216666666666667,3.8336
Random,1,15,16,[2.372],2.372,3.8336
Random,1,16,17,[2.2156],2.2156,3.8336
Random,1,17,18,[3.02766667],3.0276666666666667,3.8336
Random,1,18,19,[2.232],2.232,3.8336
Random,1,19,20,[0.8725],0.8724999999999999,3.8336
Random,1,20,21,[4.40975],4.40975,4.40975
Random,1,21,22,[1.47175],1.47175,4.40975
Random,1,22,23,[2.53833333],2.5383333333333336,4.40975
Random,1,23,24,[1.30475],1.30475,4.40975
Random,1,24,25,[1.46228571],1.4622857142857144,4.40975
Random,1,25,26,[2.00666667],2.0066666666666664,4.40975
Random,1,26,27,[3.6656],3.6656,4.40975
Random,1,27,28,[1.496],1.4959999999999998,4.40975
Random,1,28,29,[1.68466667],1.6846666666666668,4.40975
Random,1,29,30,[4.00370325],4.00370325,4.40975
Random,1,30,31,[1.56410256],1.564102564102564,4.40975
Random,1,31,32,[1.9834],1.9834,4.40975
Random,1,32,33,[1.63055],1.63055,4.40975
Random,1,33,34,[4.088],4.088,4.40975
Random,1,34,35,[0.777],0.777,4.40975
Random,1,35,36,[4.639206],4.639206,4.639206
Random,1,36,37,[1.6668],1.6667999999999998,4.639206
Random,1,37,38,[0.696],0.696,4.639206
Random,1,38,39,[1.691],1.691,4.639206
Random,1,39,40,[1.18566667],1.1856666666666666,4.639206
Random,1,40,41,[4.25341792],4.253417916666667,4.639206
Random,1,41,42,[2.82496296],2.824962962962963,4.639206
Random,1,42,43,[1.8035],1.8035,4.639206
Random,1,43,44,[1.863875],1.863875,4.639206
Random,1,44,45,[2.10816216],2.108162162162162,4.639206
Random,1,45,46,[1.09558333],1.0955833333333334,4.639206
Random,1,46,47,[1.14990909],1.1499090909090908,4.639206
Random,1,47,48,[4.919508],4.9195079999999995,4.9195079999999995
Random,1,48,49,[1.6365],1.6364999999999998,4.9195079999999995
Random,1,49,50,[2.9393],2.9393,4.9195079999999995
Latitude-Longitude,2,0,1,[0.62166667],0.6216666666666667,0.6216666666666667
Latitude-Longitude,2,1,2,[0.45],0.45,0.6216666666666667
Latitude-Longitude,2,2,3,[0.6578],0.6577999999999999,0.6577999999999999
Latitude-Longitude,2,3,4,[0.946],0.946,0.946
Latitude-Longitude,2,4,5,[0.953],0.953,0.953
Latitude-Longitude,2,5,6,[0.283],0.283,0.953
Latitude-Longitude,2,6,7,[2.51],2.51,2.51
Latitude-Longitude,2,7,8,[1.11225],1.11225,2.51
Latitude-Longitude,2,8,9,[2.954],2.954,2.954
Latitude-Longitude,2,9,10,[2.5475],2.5475,2.954
Latitude-Longitude,2,10,11,[3.638],3.638,3.638
Latitude-Longitude,2,11,12,[3.194],3.194,3.638
Latitude-Longitude,2,12,13,[2.232],2.232,3.638
Latitude-Longitude,2,13,14,[3.68],3.68,3.68
Latitude-Longitude,2,14,15,[3.4958],3.4958,3.68
Latitude-Longitude,2,15,16,[3.2416],3.2415999999999996,3.68
Latitude-Longitude,2,16,17,[0.8565],0.8564999999999999,3.68
Latitude-Longitude,2,17,18,[1.271],1.271,3.68
Latitude-Longitude,2,18,19,[4.03675],4.03675,4.03675
Latitude-Longitude,2,19,20,[3.50225],3.50225,4.03675
Latitude-Longitude,2,20,21,[2.4075],2.4075,4.03675
Latitude-Longitude,2,21,22,[5.00001],5.00001,5.00001
