% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,33,2,6,"[76.02, 15.21]",76.02,76.02,
0,33,3,8,"[16.71, 49.17]",49.17,76.02,
0,33,4,10,"[0.26, 26.78]",26.78,76.02,
0,33,5,12,"[73.59, 40.43]",73.59,76.02,
0,33,6,14,"[87.59, 35.43]",87.59,87.59,
0,33,7,16,"[89.76, 83.85]",89.76,89.76,
0,33,8,18,"[75.28, 83.25]",83.25,89.76,
0,33,9,20,"[83.22, 13.19]",83.22,89.76,
0,34,0,2,"[87.32, 0.0]",87.32,87.32,
0,34,1,4,"[32.36, 86.46]",86.46,87.32,
0,34,2,6,"[30.15, 74.04]",74.04,87.32,
0,34,3,8,"[76.33, 16.64]",76.33,87.32,
0,34,4,10,"[63.13, 4.23]",63.13,87.32,
0,34,5,12,"[13.09, 84.81]",84.81,87.32,
0,34,6,14,"[48.15, 65.37]",65.37,87.32,
0,34,7,16,"[88.41, 4.08]",88.41,88.41,
0,34,8,18,"[67.04, 7.71]",67.04,88.41,
0,34,9,20,"[25.5, 55.8]",55.8,88.41,
0,35,0,2,"[9.6, 8.85]",9.6,9.6,
0,35,1,4,"[14.75, 20.22]",20.22,20.22,
0,35,2,6,"[8.45, 17.98]",17.98,20.22,
0,35,3,8,"[29.06, 16.28]",29.06,29.06,
0,35,4,10,"[60.48, 76.02]",76.02,76.02,
0,35,5,12,"[26.29, 62.32]",62.32,76.02,
0,35,6,14,"[40.02, 49.17]",49.17,76.02,
0,35,7,16,"[15.42, 0.26]",15.42,76.02,
0,35,8,18,"[21.0, 40.43]",40.43,76.02,
0,35,9,20,"[13.89, 87.59]",87.59,87.59,
0,36,0,2,"[41.35, 9.55]",41.35,41.35,
0,36,1,4,"[36.23, 80.38]",80.38,80.38,
0,36,2,6,"[39.55, 83.22]",83.22,83.22,
0,36,3,8,"[87.59, 46.75]",87.59,87.59,
0,36,4,10,"[81.63, 49.17]",81.63,87.59,
0,36,5,12,"[83.85, 89.76]",89.76,89.76,
0,36,6,14,"[91.11, 70.51]",91.11,91.11,
0,36,7,16,"[54.67, 56.45]",56.45,91.11,
0,36,8,18,"[46.53, 24.25]",46.53,91.11,
0,36,9,20,"[70.26, 37.36]",70.26,91.11,
0,37,0,2,"[1.37, 0.0]",1.37,1.37,
0,37,1,4,"[0.0, 0.03]",0.03,1.37,
0,37,2,6,"[0.0, 27.93]",27.93,27.93,
0,37,3,8,"[3.69, 44.53]",44.53,44.53,
0,37,4,10,"[24.56, 2.98]",24.56,44.53,
0,37,5,12,"[12.83, 47.58]",47.58,47.58,
0,37,6,14,"[80.61, 30.15]",80.61,80.61,
0,37,7,16,"[84.81, 77.41]",84.81,84.81,
0,37,8,18,"[48.15, 88.41]",88.41,88.41,
0,37,9,20,"[65.37, 87.83]",87.83,88.41,
0,38,0,2,"[0.0, 2.79]",2.79,2.79,
0,38,1,4,"[66.49, 84.81]",84.81,84.81,
0,38,2,6,"[80.61, 65.37]",80.61,84.81,
0,38,3,8,"[29.16, 0.26]",29.16,84.81,
