% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,34,4,10,"[61.71, 25.35]",61.71,82.21,
0,34,5,12,"[86.14, 0.0]",86.14,86.14,
0,34,6,14,"[84.17, 60.68]",84.17,86.14,
0,34,7,16,"[27.79, 23.71]",27.79,86.14,
0,34,8,18,"[6.26, 0.0]",6.26,86.14,
0,34,9,20,"[79.33, 43.2]",79.33,86.14,
0,35,0,2,"[9.79, 0.0]",9.79,9.79,
0,35,1,4,"[6.98, 24.02]",24.02,24.02,
0,35,2,6,"[25.67, 19.77]",25.67,25.67,
0,35,3,8,"[3.55, 0.25]",3.55,25.67,
0,35,4,10,"[8.95, 23.57]",23.57,25.67,
0,35,5,12,"[38.68, 41.03]",41.03,41.03,
0,35,6,14,"[17.92, 25.62]",25.62,41.03,
0,35,7,16,"[38.45, 4.73]",38.45,41.03,
0,35,8,18,"[38.12, 31.55]",38.12,41.03,
0,35,9,20,"[66.03, 44.28]",66.03,66.03,
0,36,0,2,"[43.84, 0.01]",43.84,43.84,
0,36,1,4,"[38.8, 61.09]",61.09,61.09,
0,36,2,6,"[84.03, 22.65]",84.03,84.03,
0,36,3,8,"[75.28, 23.23]",75.28,84.03,
0,36,4,10,"[13.02, 36.73]",36.73,84.03,
0,36,5,12,"[0.97, 18.19]",18.19,84.03,
0,36,6,14,"[17.45, 3.55]",17.45,84.03,
0,36,7,16,"[31.66, 21.5]",31.66,84.03,
0,36,8,18,"[25.64, 14.53]",25.64,84.03,
0,36,9,20,"[44.4, 2.53]",44.4,84.03,
0,37,0,2,"[51.32, 17.63]",51.32,51.32,
0,37,1,4,"[52.23, 57.85]",57.85,57.85,
0,37,2,6,"[19.99, 37.4]",37.4,57.85,
0,37,3,8,"[21.15, 28.4]",28.4,57.85,
0,37,4,10,"[63.2, 16.57]",63.2,63.2,
0,37,5,12,"[57.95, 43.84]",57.95,63.2,
0,37,6,14,"[84.03, 28.9]",84.03,84.03,
0,37,7,16,"[65.32, 75.28]",75.28,84.03,
0,37,8,18,"[23.23, 0.0]",23.23,84.03,
0,37,9,20,"[13.02, 18.93]",18.93,84.03,
0,38,0,2,"[0.0, 0.0]",0.0,0.0,
0,38,1,4,"[16.91, 14.53]",16.91,16.91,
0,38,2,6,"[0.0, 10.13]",10.13,16.91,
0,38,3,8,"[18.38, 3.78]",18.38,18.38,
0,38,4,10,"[17.98, 21.65]",21.65,21.65,
0,38,5,12,"[26.56, 31.66]",31.66,31.66,
0,38,6,14,"[37.37, 18.95]",37.37,37.37,
0,38,7,16,"[52.2, 25.64]",52.2,52.2,
0,38,8,18,"[44.4, 37.93]",44.4,52.2,
0,38,9,20,"[14.99, 0.0]",14.99,52.2,
0,39,0,2,"[0.0, 36.97]",36.97,36.97,
0,39,1,4,"[72.24, 2.9]",72.24,72.24,
0,39,2,6,"[40.47, 3.77]",40.47,72.24,
0,39,3,8,"[3.79, 20.5]",20.5,72.24,
0,39,4,10,"[45.87, 30.41]",45.87,72.24,
0,39,5,12,"[12.61, 62.75]",62.75,72.24,
0,39,6,14,"[65.32, 61.09]",65.32,72.24,
0,39,7,16,"[75.28, 55.7]",75.28,75.28,
0,39,8,18,"[84.03, 8.21]",84.03,84.03,
0,39,9,20,"[36.73, 0.0]",36.73,84.03,
0,40,0,2,"[0.0, 0.0]",0.0,0.0,
0,40,1,4,"[16.91, 0.0]",16.91,16.91,
0,40,2,6,"[22.3, 13.01]",22.3,22.3,
0,40,3,8,"[24.05, 9.96]",24.05,24.05,
0,40,4,10,"[36.32, 20.5]",36.32,36.32,
0,40,5,12,"[32.14, 11.77]",32.14,36.32,
0,40,6,14,"[3.38, 28.02]",28.02,36.32,
0,40,7,16,"[13.31, 6.26]",13.31,36.32,
0,40,8,18,"[16.44, 0.0]",16.44,36.32,
0,40,9,20,"[63.2, 6.26]",63.2,63.2,
0,41,0,2,"[6.93, 5.5]",6.93,6.93,
0,41,1,4,"[10.34, 4.23]",10.34,10.34,
0,41,2,6,"[30.03, 12.98]",30.03,30.03,
0,41,3,8,"[23.23, 5.65]",23.23,30.03,
0,41,4,10,"[9.14, 0.66]",9.14,30.03,
0,41,5,12,"[61.09, 2.49]",61.09,61.09,
0,41,6,14,"[84.03, 55.7]",84.03,84.03,
0,41,7,16,"[75.28, 43.84]",75.28,84.03,
0,41,8,18,"[18.93, 13.02]",18.93,84.03,
0,41,9,20,"[36.73, 65.32]",65.32,84.03,
0,42,0,2,"[0.24, 0.0]",0.24,0.24,
0,42,1,4,"[0.78, 0.04]",0.78,0.78,
0,42,2,6,"[0.0, 5.38]",5.38,5.38,
0,42,3,8,"[5.91, 0.0]",5.91,5.91,
0,42,4,10,"[2.04, 32.36]",32.36,32.36,
0,42,5,12,"[11.68, 44.96]",44.96,44.96,
0,42,6,14,"[3.43, 46.46]",46.46,46.46,
0,42,7,16,"[19.55, 33.59]",33.59,46.46,
0,42,8,18,"[0.43, 5.19]",5.19,46.46,
0,42,9,20,"[5.29, 31.18]",31.18,46.46,
0,43,0,2,"[0.0, 2.99]",2.99,2.99,
0,43,1,4,"[19.39, 3.17]",19.39,19.39,
0,43,2,6,"[23.57, 21.8]",23.57,23.57,
0,43,3,8,"[38.45, 44.28]",44.28,44.28,
0,43,4,10,"[23.45, 66.03]",66.03,66.03,
0,43,5,12,"[28.36, 86.14]",86.14,86.14,
0,43,6,14,"[79.33, 27.79]",79.33,86.14,
0,43,7,16,"[38.79, 0.0]",38.79,86.14,
0,43,8,18,"[84.17, 6.26]",84.17,86.14,
0,43,9,20,"[0.0, 0.0]",0.0,86.14,
0,44,0,2,"[28.9, 23.57]",28.9,28.9,
0,44,1,4,"[30.41, 61.09]",61.09,61.09,
0,44,2,6,"[84.03, 62.75]",84.03,84.03,
0,44,3,8,"[18.93, 8.21]",18.93,84.03,
0,44,4,10,"[65.32, 23.23]",65.32,84.03,
0,44,5,12,"[0.97, 3.55]",3.55,84.03,
0,44,6,14,"[75.28, 36.73]",75.28,84.03,
0,44,7,16,"[17.45, 18.19]",18.19,84.03,
0,44,8,18,"[31.66, 3.4]",31.66,84.03,
0,44,9,20,"[14.53, 25.64]",25.64,84.03,
0,45,0,2,"[0.0, 28.74]",28.74,28.74,
0,45,1,4,"[21.5, 22.92]",22.92,28.74,
0,45,2,6,"[11.0, 0.0]",11.0,28.74,
0,45,3,8,"[61.94, 62.34]",62.34,62.34,
0,45,4,10,"[68.86, 46.57]",68.86,68.86,
0,45,5,12,"[61.71, 42.3]",61.71,68.86,
0,45,6,14,"[32.71, 17.9]",32.71,68.86,
0,45,7,16,"[30.83, 0.0]",30.83,68.86,
0,45,8,18,"[3.0, 85.24]",85.24,85.24,
0,45,9,20,"[28.11, 82.21]",82.21,85.24,
