% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,21,6,14,"[6.42, 0.0]",6.42,13.71,
0,21,7,16,"[3.13, 78.19]",78.19,78.19,
0,21,8,18,"[11.68, 58.4]",58.4,78.19,
0,21,9,20,"[79.1, 51.83]",79.1,79.1,
0,22,0,2,"[0.0, 0.0]",0.0,0.0,
0,22,1,4,"[13.79, 0.0]",13.79,13.79,
0,22,2,6,"[13.99, 20.51]",20.51,20.51,
0,22,3,8,"[23.1, 22.3]",23.1,23.1,
0,22,4,10,"[16.91, 24.05]",24.05,24.05,
0,22,5,12,"[21.86, 36.32]",36.32,36.32,
0,22,6,14,"[32.74, 27.41]",32.74,36.32,
0,22,7,16,"[20.72, 6.77]",20.72,36.32,
0,22,8,18,"[10.93, 3.38]",10.93,36.32,
0,22,9,20,"[10.77, 7.88]",10.77,36.32,
0,23,0,2,"[45.73, 24.56]",45.73,45.73,
0,23,1,4,"[32.43, 0.0]",32.43,45.73,
0,23,2,6,"[26.69, 62.33]",62.33,62.33,
0,23,3,8,"[50.69, 52.47]",52.47,62.33,
0,23,4,10,"[38.53, 22.88]",38.53,62.33,
0,23,5,12,"[23.3, 21.5]",23.3,62.33,
0,23,6,14,"[31.58, 18.26]",31.58,62.33,
0,23,7,16,"[20.6, 8.2]",20.6,62.33,
0,23,8,18,"[25.67, 22.22]",25.67,62.33,
0,23,9,20,"[36.18, 5.13]",36.18,62.33,
0,24,0,2,"[80.39, 0.0]",80.39,80.39,
0,24,1,4,"[82.28, 3.04]",82.28,82.28,
0,24,2,6,"[60.68, 0.89]",60.68,82.28,
0,24,3,8,"[40.06, 48.34]",48.34,82.28,
0,24,4,10,"[27.79, 84.49]",84.49,84.49,
0,24,5,12,"[84.48, 48.86]",84.48,84.49,
0,24,6,14,"[86.14, 38.79]",86.14,86.14,
0,24,7,16,"[84.67, 81.66]",84.67,86.14,
0,24,8,18,"[6.23, 82.21]",82.21,86.14,
0,24,9,20,"[25.35, 53.49]",53.49,86.14,
0,25,0,2,"[43.12, 0.6]",43.12,43.12,
0,25,1,4,"[11.68, 80.86]",80.86,80.86,
0,25,2,6,"[50.75, 13.88]",50.75,80.86,
0,25,3,8,"[99.98, 96.38]",99.98,99.98,
0,25,4,10,"[63.2, 80.65]",80.65,99.98,
