% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1361,3,8,"[6.57, 36.65]",36.65,72.89,
0,1361,4,10,"[0.0, 2.01]",2.01,72.89,
0,1361,5,12,"[3.37, 6.96]",6.96,72.89,
0,1361,6,14,"[6.0, 11.18]",11.18,72.89,
0,1361,7,16,"[27.82, 59.68]",59.68,72.89,
0,1361,8,18,"[30.21, 6.51]",30.21,72.89,
0,1361,9,20,"[46.33, 64.48]",64.48,72.89,
0,1362,0,2,"[45.01, 0.0]",45.01,45.01,
0,1362,1,4,"[31.29, 5.45]",31.29,45.01,
0,1362,2,6,"[53.52, 0.0]",53.52,53.52,
0,1362,3,8,"[50.75, 19.28]",50.75,53.52,
0,1362,4,10,"[6.4, 67.85]",67.85,67.85,
0,1362,5,12,"[36.66, 76.85]",76.85,76.85,
0,1362,6,14,"[34.47, 11.18]",34.47,76.85,
0,1362,7,16,"[39.39, 0.0]",39.39,76.85,
0,1362,8,18,"[87.0, 36.7]",87.0,87.0,
0,1362,9,20,"[67.21, 98.49]",98.49,98.49,
0,1363,0,2,"[15.72, 0.07]",15.72,15.72,
0,1363,1,4,"[0.0, 7.12]",7.12,15.72,
0,1363,2,6,"[0.0, 4.09]",4.09,15.72,
0,1363,3,8,"[32.04, 27.05]",32.04,32.04,
0,1363,4,10,"[64.46, 11.61]",64.46,64.46,
0,1363,5,12,"[45.28, 100.0]",100.0,100.0,
0,1363,6,14,"[98.49, 91.06]",98.49,100.0,
0,1363,7,16,"[100.0, 32.43]",100.0,100.0,
0,1363,8,18,"[83.25, 91.11]",91.11,100.0,
0,1363,9,20,"[0.0, 9.07]",9.07,100.0,
0,1364,0,2,"[53.25, 12.83]",53.25,53.25,
0,1364,1,4,"[23.1, 0.0]",23.1,53.25,
0,1364,2,6,"[14.19, 16.87]",16.87,53.25,
0,1364,3,8,"[52.69, 4.99]",52.69,53.25,
0,1364,4,10,"[55.96, 53.52]",55.96,55.96,
0,1364,5,12,"[100.0, 15.44]",100.0,100.0,
0,1364,6,14,"[100.0, 6.54]",100.0,100.0,
0,1364,7,16,"[87.0, 91.39]",91.39,100.0,
0,1364,8,18,"[83.25, 50.69]",83.25,100.0,
0,1364,9,20,"[98.49, 0.0]",98.49,100.0,
0,1365,0,2,"[0.0, 62.82]",62.82,62.82,
0,1365,1,4,"[8.17, 7.61]",8.17,62.82,
0,1365,2,6,"[68.71, 0.0]",68.71,68.71,
0,1365,3,8,"[55.4, 2.85]",55.4,68.71,
0,1365,4,10,"[27.82, 67.21]",67.21,68.71,
0,1365,5,12,"[5.25, 1.85]",5.25,68.71,
0,1365,6,14,"[0.0, 25.69]",25.69,68.71,
0,1365,7,16,"[90.39, 5.06]",90.39,90.39,
0,1365,8,18,"[54.07, 98.49]",98.49,98.49,
0,1365,9,20,"[64.46, 100.0]",100.0,100.0,
0,1366,0,2,"[19.82, 31.29]",31.29,31.29,
0,1366,1,4,"[0.0, 0.0]",0.0,31.29,
0,1366,2,6,"[50.75, 14.84]",50.75,50.75,
0,1366,3,8,"[53.52, 38.53]",53.52,53.52,
0,1366,4,10,"[67.85, 8.84]",67.85,67.85,
0,1366,5,12,"[76.85, 41.1]",76.85,76.85,
0,1366,6,14,"[90.39, 11.18]",90.39,90.39,
0,1366,7,16,"[67.21, 98.49]",98.49,98.49,
0,1366,8,18,"[0.74, 100.0]",100.0,100.0,
0,1366,9,20,"[100.0, 91.06]",100.0,100.0,
0,1367,0,2,"[0.0, 0.0]",0.0,0.0,
0,1367,1,4,"[39.39, 3.13]",39.39,39.39,
0,1367,2,6,"[68.71, 55.96]",68.71,68.71,
0,1367,3,8,"[24.8, 91.06]",91.06,91.06,
0,1367,4,10,"[91.39, 0.0]",91.39,91.39,
0,1367,5,12,"[87.0, 38.53]",87.0,91.39,
0,1367,6,14,"[67.21, 100.0]",100.0,100.0,
0,1367,7,16,"[100.0, 96.38]",100.0,100.0,
0,1367,8,18,"[53.52, 80.69]",80.69,100.0,
0,1367,9,20,"[0.0, 83.25]",83.25,100.0,
0,1368,0,2,"[57.33, 2.11]",57.33,57.33,
0,1368,1,4,"[6.22, 24.09]",24.09,57.33,
0,1368,2,6,"[2.84, 38.53]",38.53,57.33,
0,1368,3,8,"[0.0, 2.85]",2.85,57.33,
0,1368,4,10,"[32.04, 41.64]",41.64,57.33,
0,1368,5,12,"[87.0, 16.87]",87.0,87.0,
0,1368,6,14,"[90.39, 100.0]",100.0,100.0,
0,1368,7,16,"[91.39, 100.0]",100.0,100.0,
0,1368,8,18,"[91.11, 11.18]",91.11,100.0,
0,1368,9,20,"[98.49, 0.0]",98.49,100.0,
0,1369,0,2,"[19.51, 13.22]",19.51,19.51,
0,1369,1,4,"[20.05, 6.96]",20.05,20.05,
0,1369,2,6,"[32.04, 0.0]",32.04,32.04,
0,1369,3,8,"[55.96, 11.69]",55.96,55.96,
0,1369,4,10,"[100.0, 0.0]",100.0,100.0,
0,1369,5,12,"[91.06, 53.52]",91.06,100.0,
0,1369,6,14,"[90.39, 100.0]",100.0,100.0,
0,1369,7,16,"[98.49, 91.39]",98.49,100.0,
0,1369,8,18,"[87.0, 50.69]",87.0,100.0,
0,1369,9,20,"[0.0, 91.11]",91.11,100.0,
0,1370,0,2,"[8.23, 0.0]",8.23,8.23,
0,1370,1,4,"[9.52, 15.44]",15.44,15.44,
0,1370,2,6,"[14.84, 0.0]",14.84,15.44,
0,1370,3,8,"[32.04, 4.99]",32.04,32.04,
0,1370,4,10,"[64.46, 52.56]",64.46,64.46,
0,1370,5,12,"[100.0, 57.68]",100.0,100.0,
0,1370,6,14,"[98.49, 53.52]",98.49,100.0,
0,1370,7,16,"[90.39, 6.54]",90.39,100.0,
0,1370,8,18,"[87.0, 91.06]",91.06,100.0,
0,1370,9,20,"[89.76, 100.0]",100.0,100.0,
0,1371,0,2,"[39.32, 17.0]",39.32,39.32,
0,1371,1,4,"[9.07, 32.74]",32.74,39.32,
0,1371,2,6,"[0.0, 5.59]",5.59,39.32,
0,1371,3,8,"[11.69, 24.76]",24.76,39.32,
0,1371,4,10,"[72.89, 20.31]",72.89,72.89,
0,1371,5,12,"[6.0, 36.65]",36.65,72.89,
0,1371,6,14,"[0.0, 0.44]",0.44,72.89,
0,1371,7,16,"[0.0, 81.66]",81.66,81.66,
0,1371,8,18,"[53.49, 5.53]",53.49,81.66,
0,1371,9,20,"[48.86, 50.69]",50.69,81.66,
0,1372,0,2,"[0.35, 10.98]",10.98,10.98,
0,1372,1,4,"[22.3, 4.99]",22.3,22.3,
0,1372,2,6,"[0.0, 1.3]",1.3,22.3,
0,1372,3,8,"[55.96, 7.61]",55.96,55.96,
0,1372,4,10,"[100.0, 52.69]",100.0,100.0,
0,1372,5,12,"[53.52, 22.88]",53.52,100.0,
0,1372,6,14,"[6.54, 91.06]",91.06,100.0,
0,1372,7,16,"[90.39, 91.39]",91.39,100.0,
0,1372,8,18,"[87.0, 91.11]",91.11,100.0,
0,1372,9,20,"[98.49, 100.0]",100.0,100.0,
0,1373,0,2,"[3.37, 44.25]",44.25,44.25,
0,1373,1,4,"[0.0, 0.0]",0.0,44.25,
0,1373,2,6,"[91.06, 52.69]",91.06,91.06,
0,1373,3,8,"[6.54, 11.18]",11.18,91.06,
0,1373,4,10,"[87.0, 14.84]",87.0,91.06,
0,1373,5,12,"[67.21, 100.0]",100.0,100.0,
0,1373,6,14,"[100.0, 80.69]",100.0,100.0,
0,1373,7,16,"[98.49, 0.0]",98.49,100.0,
0,1373,8,18,"[50.69, 11.69]",50.69,100.0,
0,1373,9,20,"[55.96, 19.28]",55.96,100.0,
0,1374,0,2,"[0.0, 50.54]",50.54,50.54,
0,1374,1,4,"[31.29, 5.45]",31.29,50.54,
0,1374,2,6,"[46.33, 13.99]",46.33,50.54,
0,1374,3,8,"[11.52, 36.7]",36.7,50.54,
0,1374,4,10,"[32.04, 14.84]",32.04,50.54,
0,1374,5,12,"[0.74, 55.96]",55.96,55.96,
0,1374,6,14,"[64.46, 15.44]",64.46,64.46,
0,1374,7,16,"[71.11, 64.12]",71.11,71.11,
0,1374,8,18,"[63.61, 7.88]",63.61,71.11,
0,1374,9,20,"[27.82, 45.28]",45.28,71.11,
0,1375,0,2,"[9.1, 0.0]",9.1,9.1,
0,1375,1,4,"[10.68, 0.0]",10.68,10.68,
0,1375,2,6,"[11.18, 6.7]",11.18,11.18,
0,1375,3,8,"[5.77, 34.47]",34.47,34.47,
0,1375,4,10,"[14.84, 7.12]",14.84,34.47,
0,1375,5,12,"[2.01, 52.69]",52.69,52.69,
0,1375,6,14,"[0.0, 55.96]",55.96,55.96,
0,1375,7,16,"[64.46, 52.56]",64.46,64.46,
0,1375,8,18,"[71.11, 73.59]",73.59,73.59,
0,1375,9,20,"[63.61, 45.28]",63.61,73.59,
0,1376,0,2,"[84.48, 55.41]",84.48,84.48,
0,1376,1,4,"[32.04, 0.0]",32.04,84.48,
0,1376,2,6,"[2.84, 0.0]",2.84,84.48,
0,1376,3,8,"[2.41, 75.39]",75.39,84.48,
0,1376,4,10,"[0.0, 6.4]",6.4,84.48,
0,1376,5,12,"[0.0, 34.45]",34.45,84.48,
0,1376,6,14,"[40.06, 53.49]",53.49,84.48,
0,1376,7,16,"[72.89, 44.16]",72.89,84.48,
0,1376,8,18,"[84.62, 80.77]",84.62,84.62,
0,1376,9,20,"[81.66, 54.41]",81.66,84.62,
0,1377,0,2,"[0.0, 53.25]",53.25,53.25,
0,1377,1,4,"[23.1, 0.0]",23.1,53.25,
0,1377,2,6,"[32.04, 34.47]",34.47,53.25,
0,1377,3,8,"[11.61, 4.99]",11.61,53.25,
0,1377,4,10,"[55.96, 100.0]",100.0,100.0,
0,1377,5,12,"[6.54, 22.88]",22.88,100.0,
0,1377,6,14,"[91.39, 0.0]",91.39,100.0,
0,1377,7,16,"[100.0, 91.06]",100.0,100.0,
0,1377,8,18,"[71.97, 80.69]",80.69,100.0,
0,1377,9,20,"[83.25, 67.85]",83.25,100.0,
0,1378,0,2,"[46.33, 13.22]",46.33,46.33,
0,1378,1,4,"[1.95, 6.15]",6.15,46.33,
0,1378,2,6,"[32.04, 0.0]",32.04,46.33,
0,1378,3,8,"[8.43, 15.44]",15.44,46.33,
0,1378,4,10,"[100.0, 2.84]",100.0,100.0,
0,1378,5,12,"[67.21, 96.38]",96.38,100.0,
0,1378,6,14,"[50.75, 80.69]",80.69,100.0,
0,1378,7,16,"[100.0, 50.69]",100.0,100.0,
0,1378,8,18,"[20.73, 91.06]",91.06,100.0,
0,1378,9,20,"[91.11, 53.52]",91.11,100.0,
0,1379,0,2,"[64.12, 1.94]",64.12,64.12,
0,1379,1,4,"[0.0, 5.45]",5.45,64.12,
0,1379,2,6,"[91.06, 15.44]",91.06,91.06,
0,1379,3,8,"[87.0, 0.0]",87.0,91.06,
0,1379,4,10,"[98.49, 35.64]",98.49,98.49,
0,1379,5,12,"[0.74, 100.0]",100.0,100.0,
0,1379,6,14,"[90.39, 53.52]",90.39,100.0,
0,1379,7,16,"[100.0, 31.32]",100.0,100.0,
0,1379,8,18,"[52.56, 83.25]",83.25,100.0,
0,1379,9,20,"[2.84, 91.11]",91.11,100.0,
0,1380,0,2,"[0.0, 41.64]",41.64,41.64,
0,1380,1,4,"[9.07, 13.99]",13.99,41.64,
0,1380,2,6,"[38.53, 15.44]",38.53,41.64,
0,1380,3,8,"[50.75, 19.84]",50.75,50.75,
0,1380,4,10,"[87.0, 96.38]",96.38,96.38,
0,1380,5,12,"[0.0, 20.73]",20.73,96.38,
0,1380,6,14,"[8.17, 67.85]",67.85,96.38,
0,1380,7,16,"[91.39, 53.52]",91.39,96.38,
0,1380,8,18,"[67.21, 100.0]",100.0,100.0,
0,1380,9,20,"[83.25, 100.0]",100.0,100.0,
0,1381,0,2,"[75.39, 4.09]",75.39,75.39,
