Substance encoding,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield
MORDRED,1342,33,34,[89.71],89.71,99.98
MORDRED,1342,34,35,[45.85],45.85,99.98
MORDRED,1342,35,36,[66.84],66.84,99.98
MORDRED,1342,36,37,[81.48],81.48,99.98
MORDRED,1342,37,38,[23.23],23.23,99.98
MORDRED,1342,38,39,[100.0],100.0,100.0
MORDRED,1342,39,40,[91.39],91.39,100.0
MORDRED,1343,0,1,[15.64],15.64,15.64
MORDRED,1343,1,2,[0.0],0.0,15.64
MORDRED,1343,2,3,[3.88],3.88,15.64
MORDRED,1343,3,4,[23.81],23.81,23.81
MORDRED,1343,4,5,[21.65],21.65,23.81
MORDRED,1343,5,6,[52.2],52.2,52.2
MORDRED,1343,6,7,[52.23],52.23,52.23
MORDRED,1343,7,8,[19.99],19.99,52.23
MORDRED,1343,8,9,[0.0],0.0,52.23
MORDRED,1343,9,10,[44.47],44.47,52.23
MORDRED,1343,10,11,[37.3],37.3,52.23
MORDRED,1343,11,12,[99.81],99.81,99.81
MORDRED,1343,12,13,[0.0],0.0,99.81
MORDRED,1343,13,14,[3.6],3.6,99.81
MORDRED,1343,14,15,[5.22],5.22,99.81
MORDRED,1343,15,16,[5.75],5.75,99.81
MORDRED,1343,16,17,[26.69],26.69,99.81
MORDRED,1343,17,18,[2.41],2.41,99.81
MORDRED,1343,18,19,[62.75],62.75,99.81
MORDRED,1343,19,20,[79.1],79.1,99.81
MORDRED,1343,20,21,[24.11],24.11,99.81
MORDRED,1343,21,22,[78.93],78.93,99.81
MORDRED,1343,22,23,[2.64],2.64,99.81
MORDRED,1343,23,24,[99.22],99.22,99.81
MORDRED,1343,24,25,[95.48],95.48,99.81
MORDRED,1343,25,26,[81.63],81.63,99.81
MORDRED,1343,26,27,[74.3],74.3,99.81
MORDRED,1343,27,28,[98.38],98.38,99.81
MORDRED,1343,28,29,[96.64],96.64,99.81
MORDRED,1343,29,30,[83.22],83.22,99.81
MORDRED,1343,30,31,[89.95],89.95,99.81
MORDRED,1343,31,32,[39.57],39.57,99.81
MORDRED,1343,32,33,[87.59],87.59,99.81
MORDRED,1343,33,34,[52.08],52.08,99.81
MORDRED,1343,34,35,[100.0],100.0,100.0
MORDRED,1343,35,36,[43.84],43.84,100.0
MORDRED,1343,36,37,[92.19],92.19,100.0
MORDRED,1343,37,38,[92.03],92.03,100.0
MORDRED,1343,38,39,[83.85],83.85,100.0
MORDRED,1343,39,40,[78.19],78.19,100.0
MORDRED,1344,0,1,[44.25],44.25,44.25
MORDRED,1344,1,2,[13.31],13.31,44.25
MORDRED,1344,2,3,[0.0],0.0,44.25
MORDRED,1344,3,4,[25.64],25.64,44.25
MORDRED,1344,4,5,[40.47],40.47,44.25
MORDRED,1344,5,6,[38.8],38.8,44.25
MORDRED,1344,6,7,[14.53],14.53,44.25
MORDRED,1344,7,8,[5.65],5.65,44.25
MORDRED,1344,8,9,[0.0],0.0,44.25
MORDRED,1344,9,10,[63.2],63.2,63.2
MORDRED,1344,10,11,[99.98],99.98,99.98
MORDRED,1344,11,12,[77.52],77.52,99.98
MORDRED,1344,12,13,[52.47],52.47,99.98
MORDRED,1344,13,14,[75.46],75.46,99.98
MORDRED,1344,14,15,[0.0],0.0,99.98
MORDRED,1344,15,16,[44.47],44.47,99.98
MORDRED,1344,16,17,[50.74],50.74,99.98
MORDRED,1344,17,18,[7.42],7.42,99.98
MORDRED,1344,18,19,[3.6],3.6,99.98
MORDRED,1344,19,20,[36.73],36.73,99.98
MORDRED,1344,20,21,[5.22],5.22,99.98
MORDRED,1344,21,22,[33.69],33.69,99.98
MORDRED,1344,22,23,[5.75],5.75,99.98
MORDRED,1344,23,24,[2.41],2.41,99.98
MORDRED,1344,24,25,[5.47],5.47,99.98
MORDRED,1344,25,26,[5.49],5.49,99.98
MORDRED,1344,26,27,[3.14],3.14,99.98
MORDRED,1344,27,28,[5.03],5.03,99.98
MORDRED,1344,28,29,[5.95],5.95,99.98
MORDRED,1344,29,30,[0.0],0.0,99.98
MORDRED,1344,30,31,[0.0],0.0,99.98
MORDRED,1344,31,32,[0.0],0.0,99.98
MORDRED,1344,32,33,[0.12],0.12,99.98
MORDRED,1344,33,34,[0.0],0.0,99.98
MORDRED,1344,34,35,[0.0],0.0,99.98
MORDRED,1344,35,36,[2.13],2.13,99.98
MORDRED,1344,36,37,[7.71],7.71,99.98
MORDRED,1344,37,38,[4.3],4.3,99.98
MORDRED,1344,38,39,[57.27],57.27,99.98
MORDRED,1344,39,40,[80.86],80.86,99.98
MORDRED,1345,0,1,[3.69],3.69,3.69
MORDRED,1345,1,2,[10.04],10.04,10.04
MORDRED,1345,2,3,[0.0],0.0,10.04
MORDRED,1345,3,4,[31.53],31.53,31.53
MORDRED,1345,4,5,[16.07],16.07,31.53
MORDRED,1345,5,6,[77.52],77.52,77.52
MORDRED,1345,6,7,[89.95],89.95,89.95
MORDRED,1345,7,8,[62.75],62.75,89.95
MORDRED,1345,8,9,[44.47],44.47,89.95
MORDRED,1345,9,10,[95.48],95.48,95.48
MORDRED,1345,10,11,[92.03],92.03,95.48
MORDRED,1345,11,12,[96.64],96.64,96.64
MORDRED,1345,12,13,[38.65],38.65,96.64
MORDRED,1345,13,14,[98.38],98.38,98.38
MORDRED,1345,14,15,[18.38],18.38,98.38
MORDRED,1345,15,16,[92.19],92.19,98.38
MORDRED,1345,16,17,[99.22],99.22,99.22
MORDRED,1345,17,18,[32.21],32.21,99.22
MORDRED,1345,18,19,[2.79],2.79,99.22
MORDRED,1345,19,20,[83.22],83.22,99.22
MORDRED,1345,20,21,[83.85],83.85,99.22
MORDRED,1345,21,22,[99.98],99.98,99.98
MORDRED,1345,22,23,[80.86],80.86,99.98
MORDRED,1345,23,24,[81.63],81.63,99.98
MORDRED,1345,24,25,[71.81],71.81,99.98
MORDRED,1345,25,26,[43.84],43.84,99.98
MORDRED,1345,26,27,[99.81],99.81,99.98
MORDRED,1345,27,28,[87.59],87.59,99.98
MORDRED,1345,28,29,[58.4],58.4,99.98
MORDRED,1345,29,30,[0.0],0.0,99.98
MORDRED,1345,30,31,[50.74],50.74,99.98
MORDRED,1345,31,32,[5.95],5.95,99.98
