% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1366,6,14,"[40.61, 26.69]",40.61,40.61,
0,1366,7,16,"[69.13, 33.34]",69.13,69.13,
0,1366,8,18,"[84.17, 46.53]",84.17,84.17,
0,1366,9,20,"[56.57, 83.83]",83.83,84.17,
0,1367,0,2,"[0.0, 0.0]",0.0,0.0,
0,1367,1,4,"[5.22, 37.73]",37.73,37.73,
0,1367,2,6,"[5.47, 5.03]",5.47,37.73,
0,1367,3,8,"[0.0, 0.0]",0.0,37.73,
0,1367,4,10,"[31.38, 15.21]",31.38,37.73,
0,1367,5,12,"[40.02, 13.75]",40.02,40.02,
0,1367,6,14,"[46.99, 16.71]",46.99,46.99,
0,1367,7,16,"[26.29, 26.88]",26.88,46.99,
0,1367,8,18,"[48.15, 12.12]",48.15,48.15,
0,1367,9,20,"[56.45, 39.42]",56.45,56.45,
0,1368,0,2,"[82.09, 2.69]",82.09,82.09,
0,1368,1,4,"[5.22, 5.47]",5.47,82.09,
0,1368,2,6,"[5.03, 0.0]",5.03,82.09,
0,1368,3,8,"[0.0, 7.71]",7.71,82.09,
0,1368,4,10,"[62.6, 0.0]",62.6,82.09,
0,1368,5,12,"[78.95, 68.33]",78.95,82.09,
0,1368,6,14,"[10.12, 87.59]",87.59,87.59,
0,1368,7,16,"[83.22, 83.85]",83.85,87.59,
0,1368,8,18,"[81.63, 70.51]",81.63,87.59,
0,1368,9,20,"[88.82, 40.85]",88.82,88.82,
0,1369,0,2,"[19.51, 35.43]",35.43,35.43,
0,1369,1,4,"[5.22, 5.47]",5.47,35.43,
0,1369,2,6,"[5.03, 0.0]",5.03,35.43,
0,1369,3,8,"[0.0, 7.71]",7.71,35.43,
0,1369,4,10,"[21.0, 42.04]",42.04,42.04,
0,1369,5,12,"[51.99, 26.74]",51.99,51.99,
0,1369,6,14,"[27.48, 52.22]",52.22,52.22,
0,1369,7,16,"[59.81, 1.37]",59.81,59.81,
0,1369,8,18,"[50.93, 46.53]",50.93,59.81,
0,1369,9,20,"[68.53, 55.8]",68.53,68.53,
0,1370,0,2,"[8.23, 0.0]",8.23,8.23,
0,1370,1,4,"[5.22, 5.47]",5.47,8.23,
0,1370,2,6,"[5.03, 0.0]",5.03,8.23,
0,1370,3,8,"[0.0, 7.71]",7.71,8.23,
0,1370,4,10,"[47.03, 78.95]",78.95,78.95,
0,1370,5,12,"[82.09, 62.6]",82.09,82.09,
0,1370,6,14,"[68.33, 0.0]",68.33,82.09,
0,1370,7,16,"[28.64, 7.62]",28.64,82.09,
0,1370,8,18,"[5.69, 20.87]",20.87,82.09,
0,1370,9,20,"[83.22, 81.63]",83.22,83.22,
0,1371,0,2,"[67.04, 18.9]",67.04,67.04,
0,1371,1,4,"[5.22, 5.47]",5.47,67.04,
0,1371,2,6,"[5.03, 0.0]",5.03,67.04,
0,1371,3,8,"[0.0, 7.71]",7.71,67.04,
0,1371,4,10,"[44.74, 67.17]",67.17,67.17,
0,1371,5,12,"[2.98, 67.17]",67.17,67.17,
0,1371,6,14,"[43.76, 28.93]",43.76,67.17,
0,1371,7,16,"[84.17, 53.63]",84.17,84.17,
0,1371,8,18,"[83.83, 59.81]",83.83,84.17,
0,1371,9,20,"[56.57, 86.37]",86.37,86.37,
0,1372,0,2,"[0.35, 10.98]",10.98,10.98,
0,1372,1,4,"[5.22, 5.47]",5.47,10.98,
0,1372,2,6,"[5.03, 0.0]",5.03,10.98,
0,1372,3,8,"[0.0, 7.71]",7.71,10.98,
0,1372,4,10,"[47.03, 78.95]",78.95,78.95,
0,1372,5,12,"[82.09, 1.71]",82.09,82.09,
0,1372,6,14,"[68.33, 62.6]",68.33,82.09,
0,1372,7,16,"[0.0, 5.69]",5.69,82.09,
0,1372,8,18,"[28.64, 7.62]",28.64,82.09,
0,1372,9,20,"[74.04, 86.46]",86.46,86.46,
0,1373,0,2,"[2.69, 17.98]",17.98,17.98,
0,1373,1,4,"[5.22, 5.47]",5.47,17.98,
0,1373,2,6,"[5.03, 0.0]",5.03,17.98,
0,1373,3,8,"[0.0, 7.71]",7.71,17.98,
0,1373,4,10,"[47.03, 78.95]",78.95,78.95,
0,1373,5,12,"[82.09, 62.6]",82.09,82.09,
0,1373,6,14,"[68.33, 0.0]",68.33,82.09,
0,1373,7,16,"[28.64, 7.62]",28.64,82.09,
0,1373,8,18,"[74.04, 5.69]",74.04,82.09,
0,1373,9,20,"[86.46, 87.32]",87.32,87.32,
0,1374,0,2,"[0.0, 50.54]",50.54,50.54,
0,1374,1,4,"[5.22, 5.47]",5.47,50.54,
0,1374,2,6,"[5.03, 0.0]",5.03,50.54,
0,1374,3,8,"[0.0, 7.71]",7.71,50.54,
0,1374,4,10,"[13.46, 5.98]",13.46,50.54,
0,1374,5,12,"[47.03, 78.95]",78.95,78.95,
0,1374,6,14,"[82.09, 29.31]",82.09,82.09,
0,1374,7,16,"[68.33, 0.0]",68.33,82.09,
0,1374,8,18,"[74.04, 28.64]",74.04,82.09,
0,1374,9,20,"[28.15, 86.46]",86.46,86.46,
0,1375,0,2,"[9.1, 19.02]",19.02,19.02,
0,1375,1,4,"[5.22, 5.47]",5.47,19.02,
0,1375,2,6,"[5.03, 0.0]",5.03,19.02,
0,1375,3,8,"[0.0, 7.71]",7.71,19.02,
0,1375,4,10,"[47.03, 78.95]",78.95,78.95,
0,1375,5,12,"[82.09, 62.6]",82.09,82.09,
0,1375,6,14,"[68.33, 0.0]",68.33,82.09,
0,1375,7,16,"[28.64, 7.62]",28.64,82.09,
0,1375,8,18,"[74.04, 5.69]",74.04,82.09,
0,1375,9,20,"[86.46, 87.32]",87.32,87.32,
0,1376,0,2,"[84.81, 55.41]",84.81,84.81,
0,1376,1,4,"[5.22, 5.47]",5.47,84.81,
0,1376,2,6,"[5.03, 0.0]",5.03,84.81,
0,1376,3,8,"[0.0, 7.71]",7.71,84.81,
0,1376,4,10,"[47.03, 78.95]",78.95,84.81,
0,1376,5,12,"[82.09, 1.71]",82.09,84.81,
0,1376,6,14,"[62.6, 48.15]",62.6,84.81,
0,1376,7,16,"[68.33, 84.17]",84.17,84.81,
0,1376,8,18,"[8.4, 2.79]",8.4,84.81,
0,1376,9,20,"[83.83, 59.81]",83.83,84.81,
0,1377,0,2,"[0.0, 19.04]",19.04,19.04,
0,1377,1,4,"[5.22, 5.47]",5.47,19.04,
0,1377,2,6,"[5.03, 0.0]",5.03,19.04,
0,1377,3,8,"[0.0, 7.71]",7.71,19.04,
0,1377,4,10,"[9.72, 14.75]",14.75,19.04,
0,1377,5,12,"[37.73, 9.6]",37.73,37.73,
0,1377,6,14,"[40.02, 13.75]",40.02,40.02,
0,1377,7,16,"[46.99, 25.08]",46.99,46.99,
0,1377,8,18,"[26.88, 21.0]",26.88,46.99,
0,1377,9,20,"[47.03, 56.45]",56.45,56.45,
0,1378,0,2,"[21.46, 35.43]",35.43,35.43,
0,1378,1,4,"[5.22, 5.47]",5.47,35.43,
0,1378,2,6,"[5.03, 0.0]",5.03,35.43,
0,1378,3,8,"[0.0, 7.71]",7.71,35.43,
0,1378,4,10,"[21.0, 42.04]",42.04,42.04,
0,1378,5,12,"[51.99, 26.74]",51.99,51.99,
0,1378,6,14,"[27.48, 52.22]",52.22,52.22,
0,1378,7,16,"[59.81, 1.37]",59.81,59.81,
0,1378,8,18,"[50.93, 46.53]",50.93,59.81,
0,1378,9,20,"[5.3, 55.8]",55.8,59.81,
0,1379,0,2,"[26.29, 2.49]",26.29,26.29,
0,1379,1,4,"[5.22, 5.47]",5.47,26.29,
