% of data used,Monte_Carlo_Run,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Running best yield,Initial_Data
0,37,7,16,"[42.45, 86.14]",86.14,86.14,
0,37,8,18,"[79.33, 27.79]",79.33,86.14,
0,37,9,20,"[84.17, 60.68]",84.17,86.14,
0,38,0,2,"[1.12, 5.85]",5.85,5.85,
0,38,1,4,"[3.01, 16.91]",16.91,16.91,
0,38,2,6,"[13.01, 22.3]",22.3,22.3,
0,38,3,8,"[0.0, 24.05]",24.05,24.05,
0,38,4,10,"[36.32, 9.96]",36.32,36.32,
0,38,5,12,"[11.77, 3.38]",11.77,36.32,
0,38,6,14,"[0.97, 36.97]",36.97,36.97,
0,38,7,16,"[45.87, 6.73]",45.87,45.87,
0,38,8,18,"[72.24, 7.12]",72.24,72.24,
0,38,9,20,"[40.47, 23.51]",40.47,72.24,
0,39,0,2,"[36.73, 3.89]",36.73,36.73,
0,39,1,4,"[37.4, 0.0]",37.4,37.4,
0,39,2,6,"[43.22, 5.26]",43.22,43.22,
0,39,3,8,"[51.32, 52.23]",52.23,52.23,
0,39,4,10,"[57.18, 0.0]",57.18,57.18,
0,39,5,12,"[57.95, 16.04]",57.95,57.95,
0,39,6,14,"[57.85, 63.2]",63.2,63.2,
0,39,7,16,"[19.99, 17.45]",19.99,63.2,
0,39,8,18,"[16.44, 23.05]",23.05,63.2,
0,39,9,20,"[44.22, 18.9]",44.22,63.2,
0,40,0,2,"[26.33, 0.0]",26.33,26.33,
0,40,1,4,"[23.45, 31.55]",31.55,31.55,
0,40,2,6,"[44.28, 66.03]",66.03,66.03,
0,40,3,8,"[28.36, 53.43]",53.43,66.03,
0,40,4,10,"[59.27, 36.98]",59.27,66.03,
0,40,5,12,"[41.03, 42.45]",42.45,66.03,
0,40,6,14,"[21.8, 25.62]",25.62,66.03,
0,40,7,16,"[38.45, 34.98]",38.45,66.03,
0,40,8,18,"[13.85, 23.57]",23.57,66.03,
0,40,9,20,"[38.12, 22.31]",38.12,66.03,
0,41,0,2,"[20.46, 37.58]",37.58,37.58,
0,41,1,4,"[48.64, 3.77]",48.64,48.64,
0,41,2,6,"[54.55, 39.5]",54.55,54.55,
0,41,3,8,"[13.31, 29.57]",29.57,54.55,
0,41,4,10,"[18.19, 29.23]",29.23,54.55,
0,41,5,12,"[69.11, 48.21]",69.11,69.11,
0,41,6,14,"[75.4, 40.02]",75.4,75.4,
0,41,7,16,"[86.37, 45.95]",86.37,86.37,
0,41,8,18,"[0.0, 72.9]",72.9,86.37,
0,41,9,20,"[36.72, 30.83]",36.72,86.37,
0,42,0,2,"[4.95, 2.62]",4.95,4.95,
0,42,1,4,"[3.79, 6.73]",6.73,6.73,
0,42,2,6,"[6.77, 9.96]",9.96,9.96,
0,42,3,8,"[9.32, 7.25]",9.32,9.96,
0,42,4,10,"[8.98, 7.8]",8.98,9.96,
0,42,5,12,"[0.0, 2.9]",2.9,9.96,
0,42,6,14,"[5.5, 22.3]",22.3,22.3,
0,42,7,16,"[0.0, 16.91]",16.91,22.3,
0,42,8,18,"[36.32, 24.05]",36.32,36.32,
0,42,9,20,"[32.14, 3.38]",32.14,36.32,
0,43,0,2,"[14.68, 38.78]",38.78,38.78,
0,43,1,4,"[46.46, 38.79]",46.46,46.46,
0,43,2,6,"[44.96, 5.02]",44.96,46.46,
0,43,3,8,"[33.59, 28.53]",33.59,46.46,
0,43,4,10,"[19.55, 0.05]",19.55,46.46,
0,43,5,12,"[0.04, 0.78]",0.78,46.46,
0,43,6,14,"[11.68, 14.29]",14.29,46.46,
0,43,7,16,"[5.85, 12.23]",12.23,46.46,
0,43,8,18,"[11.0, 8.16]",11.0,46.46,
0,43,9,20,"[52.77, 0.0]",52.77,52.77,
0,44,0,2,"[0.0, 34.6]",34.6,34.6,
0,44,1,4,"[16.28, 9.32]",16.28,34.6,
0,44,2,6,"[10.04, 33.6]",33.6,34.6,
0,44,3,8,"[25.64, 14.58]",25.64,34.6,
0,44,4,10,"[25.0, 24.55]",25.0,34.6,
0,44,5,12,"[37.37, 31.66]",37.37,37.37,
0,44,6,14,"[26.29, 21.46]",26.29,37.37,
0,44,7,16,"[52.2, 0.0]",52.2,52.2,
0,44,8,18,"[26.88, 44.4]",44.4,52.2,
0,44,9,20,"[37.3, 31.38]",37.3,52.2,
0,45,0,2,"[3.02, 0.0]",3.02,3.02,
0,45,1,4,"[1.06, 16.91]",16.91,16.91,
0,45,2,6,"[11.65, 22.3]",22.3,22.3,
0,45,3,8,"[0.0, 36.32]",36.32,36.32,
0,45,4,10,"[24.05, 6.77]",24.05,36.32,
0,45,5,12,"[16.57, 3.38]",16.57,36.32,
0,45,6,14,"[20.5, 23.51]",23.51,36.32,
0,45,7,16,"[6.73, 5.48]",6.73,36.32,
0,45,8,18,"[32.14, 19.97]",32.14,36.32,
0,45,9,20,"[13.01, 11.77]",13.01,36.32,
0,46,0,2,"[0.0, 22.31]",22.31,22.31,
0,46,1,4,"[25.5, 2.62]",25.5,25.5,
0,46,2,6,"[28.36, 59.27]",59.27,59.27,
