% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1354,5,12,"[11.61, 7.88]",11.61,11.61,
0,1354,6,14,"[57.68, 31.29]",57.68,57.68,
0,1354,7,16,"[25.08, 52.69]",52.69,57.68,
0,1354,8,18,"[27.05, 15.44]",27.05,57.68,
0,1354,9,20,"[68.71, 64.46]",68.71,68.71,
0,1355,0,2,"[30.77, 11.18]",30.77,30.77,
0,1355,1,4,"[2.41, 5.47]",5.47,30.77,
0,1355,2,6,"[5.49, 0.12]",5.49,30.77,
0,1355,3,8,"[0.0, 0.0]",0.0,30.77,
0,1355,4,10,"[57.68, 56.5]",57.68,57.68,
0,1355,5,12,"[52.69, 13.99]",52.69,57.68,
0,1355,6,14,"[11.61, 43.79]",43.79,57.68,
0,1355,7,16,"[55.41, 79.76]",79.76,79.76,
0,1355,8,18,"[2.01, 68.53]",68.53,79.76,
0,1355,9,20,"[73.33, 84.62]",84.62,84.62,
0,1356,0,2,"[80.77, 0.0]",80.77,80.77,
0,1356,1,4,"[2.41, 5.47]",5.47,80.77,
0,1356,2,6,"[5.49, 0.12]",5.49,80.77,
0,1356,3,8,"[0.0, 0.0]",0.0,80.77,
0,1356,4,10,"[68.71, 78.95]",78.95,80.77,
0,1356,5,12,"[0.0, 5.4]",5.4,80.77,
0,1356,6,14,"[57.33, 6.22]",57.33,80.77,
0,1356,7,16,"[7.26, 5.25]",7.26,80.77,
0,1356,8,18,"[41.69, 86.43]",86.43,86.43,
0,1356,9,20,"[29.31, 81.66]",81.66,86.43,
0,1357,0,2,"[76.68, 0.57]",76.68,76.68,
0,1357,1,4,"[2.41, 5.47]",5.47,76.68,
0,1357,2,6,"[5.49, 0.12]",5.49,76.68,
0,1357,3,8,"[0.0, 0.0]",0.0,76.68,
0,1357,4,10,"[11.18, 53.52]",53.52,76.68,
0,1357,5,12,"[50.75, 69.2]",69.2,76.68,
0,1357,6,14,"[32.43, 31.32]",32.43,76.68,
0,1357,7,16,"[10.05, 30.77]",30.77,76.68,
0,1357,8,18,"[36.66, 54.67]",54.67,76.68,
0,1357,9,20,"[98.49, 96.38]",98.49,98.49,
