% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1360,5,12,"[3.04, 99.98]",99.98,99.98,
0,1360,6,14,"[71.81, 91.19]",91.19,99.98,
0,1360,7,16,"[99.22, 62.33]",99.22,99.98,
0,1360,8,18,"[98.38, 95.48]",98.38,99.98,
0,1360,9,20,"[81.63, 50.74]",81.63,99.98,
0,1361,0,2,"[20.51, 72.21]",72.21,72.21,
0,1361,1,4,"[0.0, 0.0]",0.0,72.21,
0,1361,2,6,"[7.43, 25.45]",25.45,72.21,
0,1361,3,8,"[8.52, 31.51]",31.51,72.21,
0,1361,4,10,"[0.0, 1.89]",1.89,72.21,
0,1361,5,12,"[2.45, 6.44]",6.44,72.21,
0,1361,6,14,"[42.63, 75.46]",75.46,75.46,
0,1361,7,16,"[92.03, 77.52]",92.03,92.03,
0,1361,8,18,"[89.95, 12.23]",89.95,92.03,
0,1361,9,20,"[96.64, 83.62]",96.64,96.64,
0,1362,0,2,"[57.84, 2.82]",57.84,57.84,
0,1362,1,4,"[30.17, 5.4]",30.17,57.84,
0,1362,2,6,"[71.81, 0.0]",71.81,71.81,
0,1362,3,8,"[76.66, 19.13]",76.66,76.66,
0,1362,4,10,"[80.86, 75.46]",80.86,80.86,
0,1362,5,12,"[7.42, 50.74]",50.74,80.86,
0,1362,6,14,"[77.52, 80.65]",80.65,80.86,
0,1362,7,16,"[70.51, 45.73]",70.51,80.86,
0,1362,8,18,"[98.38, 0.0]",98.38,98.38,
0,1362,9,20,"[5.95, 96.64]",96.64,98.38,
0,1363,0,2,"[14.73, 0.26]",14.73,14.73,
0,1363,1,4,"[0.0, 5.15]",5.15,14.73,
0,1363,2,6,"[0.0, 4.87]",4.87,14.73,
0,1363,3,8,"[52.08, 21.09]",52.08,52.08,
0,1363,4,10,"[98.38, 3.04]",98.38,98.38,
0,1363,5,12,"[99.22, 60.29]",99.22,99.22,
0,1363,6,14,"[96.64, 92.19]",96.64,99.22,
0,1363,7,16,"[99.81, 95.48]",99.81,99.81,
0,1363,8,18,"[83.22, 89.95]",89.95,99.81,
0,1363,9,20,"[81.63, 92.03]",92.03,99.81,
0,1364,0,2,"[53.02, 44.53]",53.02,53.02,
0,1364,1,4,"[20.51, 0.0]",20.51,53.02,
0,1364,2,6,"[98.38, 9.35]",98.38,98.38,
0,1364,3,8,"[76.59, 60.29]",76.59,98.38,
0,1364,4,10,"[5.95, 92.19]",92.19,98.38,
0,1364,5,12,"[99.22, 99.98]",99.98,99.98,
0,1364,6,14,"[71.81, 62.33]",71.81,99.98,
0,1364,7,16,"[95.48, 19.64]",95.48,99.98,
0,1364,8,18,"[81.63, 76.66]",81.63,99.98,
0,1364,9,20,"[99.81, 80.86]",99.81,99.98,
0,1365,0,2,"[0.0, 87.32]",87.32,87.32,
0,1365,1,4,"[12.25, 7.88]",12.25,87.32,
0,1365,2,6,"[88.89, 0.0]",88.89,88.89,
0,1365,3,8,"[45.85, 7.42]",45.85,88.89,
0,1365,4,10,"[5.95, 96.64]",96.64,96.64,
0,1365,5,12,"[3.33, 95.48]",95.48,96.64,
0,1365,6,14,"[98.38, 92.03]",98.38,98.38,
0,1365,7,16,"[99.22, 59.82]",99.22,99.22,
0,1365,8,18,"[74.3, 81.63]",81.63,99.22,
0,1365,9,20,"[99.81, 62.33]",99.81,99.81,
0,1366,0,2,"[20.08, 30.17]",30.17,30.17,
0,1366,1,4,"[3.33, 0.83]",3.33,30.17,
0,1366,2,6,"[80.86, 10.59]",80.86,80.86,
0,1366,3,8,"[71.81, 52.47]",71.81,80.86,
0,1366,4,10,"[9.61, 50.74]",50.74,80.86,
0,1366,5,12,"[99.22, 60.29]",99.22,99.22,
0,1366,6,14,"[98.38, 92.19]",98.38,99.22,
0,1366,7,16,"[99.81, 7.43]",99.81,99.81,
0,1366,8,18,"[83.22, 87.59]",87.59,99.81,
0,1366,9,20,"[0.0, 78.93]",78.93,99.81,
0,1367,0,2,"[0.0, 0.89]",0.89,0.89,
0,1367,1,4,"[62.04, 20.51]",62.04,62.04,
0,1367,2,6,"[89.14, 21.09]",89.14,89.14,
0,1367,3,8,"[88.89, 22.07]",88.89,89.14,
0,1367,4,10,"[5.95, 6.22]",6.22,89.14,
0,1367,5,12,"[45.85, 96.64]",96.64,96.64,
0,1367,6,14,"[98.38, 89.95]",98.38,98.38,
0,1367,7,16,"[95.48, 31.14]",95.48,98.38,
0,1367,8,18,"[2.13, 83.22]",83.22,98.38,
0,1367,9,20,"[99.81, 99.22]",99.81,99.81,
0,1368,0,2,"[76.59, 4.26]",76.59,76.59,
0,1368,1,4,"[18.38, 21.88]",21.88,76.59,
0,1368,2,6,"[52.08, 52.47]",52.47,76.59,
0,1368,3,8,"[4.3, 6.22]",6.22,76.59,
0,1368,4,10,"[92.19, 3.04]",92.19,92.19,
0,1368,5,12,"[5.65, 92.03]",92.03,92.19,
0,1368,6,14,"[99.81, 95.48]",99.81,99.81,
0,1368,7,16,"[98.38, 26.39]",98.38,99.81,
0,1368,8,18,"[96.64, 99.22]",99.22,99.81,
0,1368,9,20,"[5.95, 87.59]",87.59,99.81,
0,1369,0,2,"[16.09, 26.48]",26.48,26.48,
0,1369,1,4,"[11.91, 23.81]",23.81,26.48,
0,1369,2,6,"[0.0, 1.23]",1.23,26.48,
0,1369,3,8,"[13.12, 26.39]",26.39,26.48,
0,1369,4,10,"[76.66, 9.88]",76.66,76.66,
0,1369,5,12,"[17.0, 80.86]",80.86,80.86,
0,1369,6,14,"[98.38, 99.98]",99.98,99.98,
0,1369,7,16,"[99.22, 62.33]",99.22,99.98,
0,1369,8,18,"[95.48, 92.19]",95.48,99.98,
0,1369,9,20,"[99.81, 81.63]",99.81,99.98,
0,1370,0,2,"[10.51, 0.0]",10.51,10.51,
0,1370,1,4,"[22.07, 14.29]",22.07,22.07,
0,1370,2,6,"[26.22, 3.18]",26.22,26.22,
0,1370,3,8,"[92.03, 0.0]",92.03,92.03,
0,1370,4,10,"[92.19, 19.71]",92.19,92.19,
0,1370,5,12,"[99.81, 99.22]",99.81,99.81,
0,1370,6,14,"[98.38, 9.96]",98.38,99.81,
0,1370,7,16,"[96.64, 60.29]",96.64,99.81,
0,1370,8,18,"[87.59, 81.63]",87.59,99.81,
0,1370,9,20,"[83.22, 80.86]",83.22,99.81,
0,1371,0,2,"[61.67, 26.39]",61.67,61.67,
0,1371,1,4,"[13.88, 27.41]",27.41,61.67,
0,1371,2,6,"[0.0, 11.99]",11.99,61.67,
0,1371,3,8,"[43.22, 26.29]",43.22,61.67,
0,1371,4,10,"[8.61, 45.62]",45.62,61.67,
0,1371,5,12,"[84.67, 71.43]",84.67,84.67,
0,1371,6,14,"[80.39, 76.24]",80.39,84.67,
0,1371,7,16,"[5.95, 48.91]",48.91,84.67,
0,1371,8,18,"[0.0, 0.0]",0.0,84.67,
0,1371,9,20,"[38.48, 0.74]",38.48,84.67,
0,1372,0,2,"[3.28, 21.25]",21.25,21.25,
0,1372,1,4,"[39.57, 4.66]",39.57,39.57,
0,1372,2,6,"[4.3, 3.18]",4.3,39.57,
0,1372,3,8,"[89.14, 22.08]",89.14,89.14,
0,1372,4,10,"[3.14, 21.88]",21.88,89.14,
0,1372,5,12,"[84.64, 92.03]",92.03,92.03,
0,1372,6,14,"[14.24, 0.0]",14.24,92.03,
0,1372,7,16,"[95.48, 50.7]",95.48,95.48,
0,1372,8,18,"[96.64, 12.23]",96.64,96.64,
0,1372,9,20,"[45.85, 98.38]",98.38,98.38,
0,1373,0,2,"[2.45, 78.6]",78.6,78.6,
0,1373,1,4,"[0.0, 0.0]",0.0,78.6,
0,1373,2,6,"[92.03, 49.48]",92.03,92.03,
0,1373,3,8,"[98.38, 9.96]",98.38,98.38,
0,1373,4,10,"[96.64, 62.33]",96.64,98.38,
0,1373,5,12,"[89.95, 95.48]",95.48,98.38,
0,1373,6,14,"[99.22, 31.14]",99.22,99.22,
0,1373,7,16,"[52.08, 92.19]",92.19,99.22,
0,1373,8,18,"[35.61, 81.63]",81.63,99.22,
0,1373,9,20,"[99.81, 50.7]",99.81,99.81,
0,1374,0,2,"[28.53, 70.26]",70.26,70.26,
0,1374,1,4,"[30.17, 5.4]",30.17,70.26,
0,1374,2,6,"[13.79, 0.0]",13.79,70.26,
0,1374,3,8,"[76.59, 83.62]",83.62,83.62,
0,1374,4,10,"[52.08, 14.24]",52.08,83.62,
0,1374,5,12,"[5.95, 98.38]",98.38,98.38,
0,1374,6,14,"[96.64, 99.81]",99.81,99.81,
0,1374,7,16,"[89.95, 52.47]",89.95,99.81,
0,1374,8,18,"[83.22, 44.47]",83.22,99.81,
0,1374,9,20,"[99.22, 76.66]",99.22,99.81,
0,1375,0,2,"[13.89, 2.79]",13.89,13.89,
0,1375,1,4,"[11.26, 0.0]",11.26,13.89,
0,1375,2,6,"[8.52, 21.09]",21.09,21.09,
0,1375,3,8,"[6.48, 10.59]",10.59,21.09,
0,1375,4,10,"[49.48, 71.81]",71.81,71.81,
0,1375,5,12,"[3.33, 19.13]",19.13,71.81,
0,1375,6,14,"[80.65, 99.98]",99.98,99.98,
0,1375,7,16,"[80.86, 50.74]",80.86,99.98,
0,1375,8,18,"[98.38, 0.0]",98.38,99.98,
0,1375,9,20,"[99.22, 52.47]",99.22,99.98,
0,1376,0,2,"[84.49, 46.53]",84.49,84.49,
0,1376,1,4,"[52.08, 0.0]",52.08,84.49,
0,1376,2,6,"[5.65, 0.0]",5.65,84.49,
0,1376,3,8,"[3.14, 7.65]",7.65,84.49,
0,1376,4,10,"[0.0, 49.48]",49.48,84.49,
0,1376,5,12,"[0.74, 53.02]",53.02,84.49,
0,1376,6,14,"[12.14, 43.9]",43.9,84.49,
0,1376,7,16,"[4.26, 19.13]",19.13,84.49,
0,1376,8,18,"[68.17, 27.41]",68.17,84.49,
0,1376,9,20,"[74.3, 23.8]",74.3,84.49,
0,1377,0,2,"[0.0, 53.02]",53.02,53.02,
0,1377,1,4,"[20.51, 0.83]",20.51,53.02,
